"module name","licenses","repository","licenseUrl","parents"
"lru-cache@4.1.5","ISC","https://github.com/isaacs/node-lru-cache","https://github.com/isaacs/node-lru-cache/raw/master/LICENSE","com.gams.miro"
"make-dir@1.3.0","MIT","https://github.com/sindresorhus/make-dir","https://github.com/sindresorhus/make-dir/raw/master/license","configstore:com.gams.miro"
"make-dir@3.0.0","MIT","https://github.com/sindresorhus/make-dir","https://github.com/sindresorhus/make-dir/raw/master/license","com.gams.miro"
"map-obj@1.0.1","MIT","https://github.com/sindresorhus/map-obj","https://github.com/sindresorhus/map-obj/raw/master/license","com.gams.miro"
"meow@3.7.0","MIT","https://github.com/sindresorhus/meow","https://github.com/sindresorhus/meow/raw/master/license","com.gams.miro"
"merge-stream@2.0.0","MIT","https://github.com/grncdr/merge-stream","https://github.com/grncdr/merge-stream/raw/master/LICENSE","com.gams.miro"
"mime-db@1.40.0","MIT","https://github.com/jshttp/mime-db","https://github.com/jshttp/mime-db/raw/master/LICENSE","com.gams.miro"
"mime-types@2.1.24","MIT","https://github.com/jshttp/mime-types","https://github.com/jshttp/mime-types/raw/master/LICENSE","com.gams.miro"
"mime@2.4.4","MIT","https://github.com/broofa/node-mime","https://github.com/broofa/node-mime/raw/master/LICENSE","com.gams.miro"
"mimic-fn@2.1.0","MIT","https://github.com/sindresorhus/mimic-fn","https://github.com/sindresorhus/mimic-fn/raw/master/license","com.gams.miro"
"mimic-response@1.0.1","MIT","https://github.com/sindresorhus/mimic-response","https://github.com/sindresorhus/mimic-response/raw/master/license","com.gams.miro"
"minimatch@3.0.4","ISC","https://github.com/isaacs/minimatch","https://github.com/isaacs/minimatch/raw/master/LICENSE","com.gams.miro"
"minimist@0.0.8","MIT","https://github.com/substack/minimist","https://github.com/substack/minimist/raw/master/LICENSE","mkdirp:com.gams.miro"
"minimist@1.2.0","MIT","https://github.com/substack/minimist","https://github.com/substack/minimist/raw/master/LICENSE","com.gams.miro"
"mkdirp@0.5.1","MIT","https://github.com/substack/node-mkdirp","https://github.com/substack/node-mkdirp/raw/master/LICENSE","com.gams.miro"
"ms@2.0.0","MIT","https://github.com/zeit/ms","https://github.com/zeit/ms/raw/master/license.md","com.gams.miro"
"ms@2.1.2","MIT","https://github.com/zeit/ms","https://github.com/zeit/ms/raw/master/license.md","debug:com.gams.miro"
"normalize-package-data@2.5.0","BSD-2-Clause","https://github.com/npm/normalize-package-data","https://github.com/npm/normalize-package-data/raw/master/LICENSE","com.gams.miro"
"normalize-url@4.5.0","MIT","https://github.com/sindresorhus/normalize-url","https://github.com/sindresorhus/normalize-url/raw/master/license","com.gams.miro"
"npm-run-path@2.0.2","MIT","https://github.com/sindresorhus/npm-run-path","https://github.com/sindresorhus/npm-run-path/raw/master/license","term-size:com.gams.miro"
"npm-run-path@4.0.0","MIT","https://github.com/sindresorhus/npm-run-path","https://github.com/sindresorhus/npm-run-path/raw/master/license","com.gams.miro"
"nugget@2.0.1","BSD","https://github.com/maxogden/nugget","https://github.com/maxogden/nugget","com.gams.miro"
"number-is-nan@1.0.1","MIT","https://github.com/sindresorhus/number-is-nan","https://github.com/sindresorhus/number-is-nan/raw/master/license","com.gams.miro"
"oauth-sign@0.9.0","Apache-2.0","https://github.com/mikeal/oauth-sign","https://github.com/mikeal/oauth-sign/raw/master/LICENSE","com.gams.miro"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign","https://github.com/sindresorhus/object-assign/raw/master/license","com.gams.miro"
"object-keys@0.4.0","MIT","https://github.com/ljharb/object-keys","https://github.com/ljharb/object-keys","com.gams.miro"
"once@1.4.0","ISC","https://github.com/isaacs/once","https://github.com/isaacs/once/raw/master/LICENSE","com.gams.miro"
"onetime@5.1.0","MIT","https://github.com/sindresorhus/onetime","https://github.com/sindresorhus/onetime/raw/master/license","com.gams.miro"
"p-cancelable@1.1.0","MIT","https://github.com/sindresorhus/p-cancelable","https://github.com/sindresorhus/p-cancelable/raw/master/license","com.gams.miro"
"p-finally@1.0.0","MIT","https://github.com/sindresorhus/p-finally","https://github.com/sindresorhus/p-finally/raw/master/license","term-size:com.gams.miro"
"p-finally@2.0.1","MIT","https://github.com/sindresorhus/p-finally","https://github.com/sindresorhus/p-finally/raw/master/license","com.gams.miro"
"p-limit@2.2.1","MIT","https://github.com/sindresorhus/p-limit","https://github.com/sindresorhus/p-limit/raw/master/license","com.gams.miro"
"p-locate@3.0.0","MIT","https://github.com/sindresorhus/p-locate","https://github.com/sindresorhus/p-locate/raw/master/license","com.gams.miro"
"p-try@2.2.0","MIT","https://github.com/sindresorhus/p-try","https://github.com/sindresorhus/p-try/raw/master/license","com.gams.miro"
"package-json@6.5.0","MIT","https://github.com/sindresorhus/package-json","https://github.com/sindresorhus/package-json/raw/master/license","com.gams.miro"
"parse-json@2.2.0","MIT","https://github.com/sindresorhus/parse-json","https://github.com/sindresorhus/parse-json/raw/master/license","com.gams.miro"
"path-exists@2.1.0","MIT","https://github.com/sindresorhus/path-exists","https://github.com/sindresorhus/path-exists/raw/master/license","read-pkg-up:com.gams.miro"
"path-exists@3.0.0","MIT","https://github.com/sindresorhus/path-exists","https://github.com/sindresorhus/path-exists/raw/master/license","com.gams.miro"
"path-is-inside@1.0.2","(WTFPL OR MIT)","https://github.com/domenic/path-is-inside","https://github.com/domenic/path-is-inside/raw/master/LICENSE.txt","com.gams.miro"
"path-key@2.0.1","MIT","https://github.com/sindresorhus/path-key","https://github.com/sindresorhus/path-key/raw/master/license","term-size:com.gams.miro"
"path-key@3.1.0","MIT","https://github.com/sindresorhus/path-key","https://github.com/sindresorhus/path-key/raw/master/license","com.gams.miro"
"path-parse@1.0.6","MIT","https://github.com/jbgutierrez/path-parse","https://github.com/jbgutierrez/path-parse/raw/master/LICENSE","com.gams.miro"
"path-type@1.1.0","MIT","https://github.com/sindresorhus/path-type","https://github.com/sindresorhus/path-type/raw/master/license","com.gams.miro"
"pend@1.2.0","MIT","https://github.com/andrewrk/node-pend","https://github.com/andrewrk/node-pend/raw/master/LICENSE","com.gams.miro"
"performance-now@2.1.0","MIT","https://github.com/braveg1rl/performance-now","https://github.com/braveg1rl/performance-now/raw/master/license.txt","com.gams.miro"
"pify@2.3.0","MIT","https://github.com/sindresorhus/pify","https://github.com/sindresorhus/pify/raw/master/license","com.gams.miro"
"pify@3.0.0","MIT","https://github.com/sindresorhus/pify","https://github.com/sindresorhus/pify/raw/master/license","configstore:com.gams.miro"
"pinkie-promise@2.0.1","MIT","https://github.com/floatdrop/pinkie-promise","https://github.com/floatdrop/pinkie-promise/raw/master/license","com.gams.miro"
"pinkie@2.0.4","MIT","https://github.com/floatdrop/pinkie","https://github.com/floatdrop/pinkie/raw/master/license","com.gams.miro"
"pkg-up@3.1.0","MIT","https://github.com/sindresorhus/pkg-up","https://github.com/sindresorhus/pkg-up/raw/master/license","com.gams.miro"
"popper.js@1.16.0","MIT","https://github.com/FezVrasta/popper.js","https://github.com/FezVrasta/popper.js","com.gams.miro"
"prepend-http@2.0.0","MIT","https://github.com/sindresorhus/prepend-http","https://github.com/sindresorhus/prepend-http/raw/master/license","com.gams.miro"
"pretty-bytes@1.0.4","MIT","https://github.com/sindresorhus/pretty-bytes","https://github.com/sindresorhus/pretty-bytes/raw/master/license","com.gams.miro"
"process-nextick-args@2.0.1","MIT","https://github.com/calvinmetcalf/process-nextick-args","https://github.com/calvinmetcalf/process-nextick-args/raw/master/license.md","com.gams.miro"
"progress-stream@1.2.0","BSD-2-Clause","https://github.com/freeall/progress-stream","https://github.com/freeall/progress-stream/raw/master/LICENSE","com.gams.miro"
"pseudomap@1.0.2","ISC","https://github.com/isaacs/pseudomap","https://github.com/isaacs/pseudomap/raw/master/LICENSE","com.gams.miro"
"psl@1.4.0","MIT","https://github.com/lupomontero/psl","https://github.com/lupomontero/psl/raw/master/LICENSE","com.gams.miro"
"pump@3.0.0","MIT","https://github.com/mafintosh/pump","https://github.com/mafintosh/pump/raw/master/LICENSE","com.gams.miro"
"punycode@1.4.1","MIT","https://github.com/bestiejs/punycode.js","https://github.com/bestiejs/punycode.js/raw/master/LICENSE-MIT.txt","tough-cookie:com.gams.miro"
"punycode@2.1.1","MIT","https://github.com/bestiejs/punycode.js","https://github.com/bestiejs/punycode.js/raw/master/LICENSE-MIT.txt","com.gams.miro"
"qs@6.5.2","BSD-3-Clause","https://github.com/ljharb/qs","https://github.com/ljharb/qs/raw/master/LICENSE","com.gams.miro"
"rc@1.2.8","(BSD-2-Clause OR MIT OR Apache-2.0)","https://github.com/dominictarr/rc","https://github.com/dominictarr/rc/raw/master/LICENSE.APACHE2","com.gams.miro"
"read-config-file@5.0.0","MIT","https://github.com/develar/read-config-file","https://github.com/develar/read-config-file","com.gams.miro"
"read-pkg-up@1.0.1","MIT","https://github.com/sindresorhus/read-pkg-up","https://github.com/sindresorhus/read-pkg-up/raw/master/license","com.gams.miro"
"read-pkg@1.1.0","MIT","https://github.com/sindresorhus/read-pkg","https://github.com/sindresorhus/read-pkg/raw/master/license","com.gams.miro"
"readable-stream@1.1.14","MIT","https://github.com/isaacs/readable-stream","https://github.com/isaacs/readable-stream/raw/master/LICENSE","through2:com.gams.miro"
"readable-stream@2.3.6","MIT","https://github.com/nodejs/readable-stream","https://github.com/nodejs/readable-stream/raw/master/LICENSE","com.gams.miro"
"redent@1.0.0","MIT","https://github.com/sindresorhus/redent","https://github.com/sindresorhus/redent/raw/master/license","com.gams.miro"
"registry-auth-token@4.0.0","MIT","https://github.com/rexxars/registry-auth-token","https://github.com/rexxars/registry-auth-token/raw/master/LICENSE","com.gams.miro"
"registry-url@5.1.0","MIT","https://github.com/sindresorhus/registry-url","https://github.com/sindresorhus/registry-url/raw/master/license","com.gams.miro"
"repeating@2.0.1","MIT","https://github.com/sindresorhus/repeating","https://github.com/sindresorhus/repeating/raw/master/license","com.gams.miro"
"request@2.88.0","Apache-2.0","https://github.com/request/request","https://github.com/request/request/raw/master/LICENSE","com.gams.miro"
"require-directory@2.1.1","MIT","https://github.com/troygoode/node-require-directory","https://github.com/troygoode/node-require-directory/raw/master/LICENSE","com.gams.miro"
"require-main-filename@2.0.0","ISC","https://github.com/yargs/require-main-filename","https://github.com/yargs/require-main-filename/raw/master/LICENSE.txt","com.gams.miro"
"resolve@1.12.0","MIT","https://github.com/browserify/resolve","https://github.com/browserify/resolve/raw/master/LICENSE","com.gams.miro"
"responselike@1.0.2","MIT","https://github.com/lukechilds/responselike","https://github.com/lukechilds/responselike/raw/master/LICENSE","com.gams.miro"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer","https://github.com/feross/safe-buffer/raw/master/LICENSE","readable-stream:com.gams.miro"
"safe-buffer@5.2.0","MIT","https://github.com/feross/safe-buffer","https://github.com/feross/safe-buffer/raw/master/LICENSE","com.gams.miro"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer","https://github.com/ChALkeR/safer-buffer/raw/master/LICENSE","com.gams.miro"
